,delta_tp_s,delta_tp_s,delta_tp_s,delta_tp_s,delta_tp_s,delta_tp_s,rise_10_90_s,rise_10_90_s,rise_10_90_s,rise_10_90_s,rise_10_90_s,rise_10_90_s
,count,mean,std,median,min,max,count,mean,std,median,min,max
fc_Hz,,,,,,,,,,,,
3.0,4,44.79245283018864,3.8726922602179643,43.764150943396146,41.641509433962256,50.0,4,32.56603773584908,6.718941838063693,33.707547169811335,24.60377358490564,38.24528301886801
4.0,4,46.71226415094338,3.275505571804096,47.10377358490564,42.641509433962256,50.0,4,36.09905660377359,8.450406421933696,35.273584905660414,26.641509433962256,47.20754716981128
5.0,4,41.72169811320754,9.651078649217956,45.141509433962256,27.88679245283015,48.71698113207549,4,35.74528301886792,13.174194185190075,37.93396226415092,19.490566037735903,47.62264150943395
6.0,4,46.0566037735849,5.5461214942347254,48.17924528301887,37.86792452830184,50.0,4,41.245283018867894,4.846743446512508,40.47169811320748,37.03773584905662,47.0
7.0,4,44.13207547169813,5.005965350916558,44.14150943396231,38.245283018867894,50.0,4,34.660377358490564,5.1767386907369275,33.99999999999994,29.94339622641519,40.69811320754718
8.0,4,43.957547169811335,9.550542261144287,48.01886792452831,29.792452830188722,50.0,4,38.410377358490564,6.9550997720867915,39.745283018867894,28.773584905660414,45.37735849056605
9.0,4,42.83018867924528,6.18278980389173,43.160377358490564,35.0,50.0,4,37.97641509433964,2.865497773341261,38.41509433962267,34.15094339622635,40.92452830188688
