fc_Hz,D_ref_km,vp_km_s,delta_tp_ref_s,d_eff_km2_s,mu_eff_km,Qsc_eff,distance_exponent_for_d,frequency_exponent_for_d
3.0,1000.0,4.0,45.17840738337534,22134.46772291442,16600.850792185818,78229.6663381069,2.0008802971934907,0.04577394982793847
4.0,1000.0,4.0,44.58738248998122,22427.869593481963,16820.90219511147,105688.84552582924,2.0008802971934907,0.04577394982793847
5.0,1000.0,4.0,44.13427773639771,22658.12541382763,16993.594060370724,133467.37564536952,2.0008802971934907,0.04577394982793847
6.0,1000.0,4.0,43.76748436838032,22848.011815877788,17136.00886190834,161503.0786572625,2.0008802971934907,0.04577394982793847
7.0,1000.0,4.0,43.45974425433911,23009.79946287093,17257.3495971532,189754.46950196545,2.0008802971934907,0.04577394982793847
8.0,1000.0,4.0,43.1949172000992,23150.872019676044,17363.154014757034,218191.8283836353,2.0008802971934907,0.04577394982793847
9.0,1000.0,4.0,42.962662999265525,23276.02458015919,17457.01843511939,246792.78391208698,2.0008802971934907,0.04577394982793847
