event,station,epi_deg,epi_km,fc_Hz,sigma,rmse,q0,alpha,envelope_plot_path
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,6.0,383.87942169189193,0.11873385015768548,6.151214874121478,0.30926869871269763,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1974_07_11_00_37_00_006000_00_00__S14_6.0Hz.png
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,7.0,461.26517388819644,0.1111086000989663,8.733419364765679,0.21615217819823343,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1974_07_11_00_37_00_006000_00_00__S14_7.0Hz.png
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,8.0,275.1951722337189,0.10021795578293084,6.297567605404328,0.600430648958394,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1974_07_11_00_37_00_006000_00_00__S14_8.0Hz.png
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,9.0,213.7230968881347,0.07938325875161076,6.056508491542823,1.1354789349830565,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1974_07_11_00_37_00_006000_00_00__S14_9.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,3.0,109.9327644136603,0.12255182340669843,1.9577154181748402,1.326359296669617,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_3.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,4.0,116.66037049696394,0.11761952082243743,6.785194744231769,1.6713046855577771,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_4.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,5.0,123.3961685652055,0.12322847674733377,2.9756059095127974,1.701156335124568,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_5.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,6.0,123.41486177405274,0.1236893962258465,2.3994686705499584,1.6554192610985718,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_6.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,7.0,223.72966775160847,0.15213153654418524,7.166986174887968,0.5338235718363974,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_7.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,8.0,233.92847644240973,0.17822742800983088,6.142630755559434,0.6302632074694399,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_8.0Hz.png
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,9.0,328.5240147505947,0.13464610311291372,8.021749376956489,0.37364660185543075,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1975_01_03_01_32_00_013000_00_00__S15_9.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,3.0,90.55917107905985,0.09123687977496844,1.6101315270593042,0.9774207017096493,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_3.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,4.0,92.23692148733356,0.08327130893738885,1.7920324486079844,1.0685116332058613,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_4.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,5.0,91.2239009357627,0.11391025698220585,1.7267282918681384,1.0686262446108905,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_5.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,6.0,93.19437241451233,0.10757705570131146,1.8372598016645627,1.10006906031046,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_6.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,7.0,91.48871818488642,0.09592571099452397,1.7224368948763078,1.0936216478756473,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_7.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,8.0,89.75468297206406,0.05377845357516364,1.8375398243594774,1.1125847698483353,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_8.0Hz.png
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,9.0,89.95506798494657,0.09498701668699608,1.8892738528961286,1.1864992519672182,/Users/ramonmargarit/IPGP Dropbox/Ramon Margarit/PhD/Science/Modelling_Envelopes/notebooks/results/LSQ_Fitting/event_band_envelope_fits/1976_03_06_10_03_00_009000_00_00__S14_9.0Hz.png
