event,station,epi_deg,epi_km,count,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_sem,sigma_log_sem,log_D_over_D0,log_sigma_mean,weight_eq15,sigma_pred_eq15_weighted,residual_log_eq15_weighted
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,7,49.02451913897803,2.3361323601696222,45.927260426200526,52.24079918877522,0.8829750363913135,0.018010886223854557,2.8424042746791724,3.8923205635483917,55.52197640755444,48.677706660517316,0.007099407045839445
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,2,132.04733688519275,80.93934812205298,74.81457496327043,189.28009880711505,57.232761921922304,0.43342609757955786,3.0662147125930677,4.883160471066793,2.307198402644511,58.40498844528698,0.8157591662968899
1973-06-20 20:15:00.023000+00:00__S15,S15,77.0,2334.8979826595105,7,68.09765945173942,2.9463273578056848,65.19251813233294,73.82196716656547,1.1136070671056946,0.016353088726858582,3.150553292650603,4.220942843280533,61.150527383709694,62.55538507478802,0.08489051775059409
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,7,67.24118639415242,1.130499679198604,65.80771464655285,69.10100909559334,0.42728871548540076,0.006354568359052029,3.237336699474691,4.208285952557162,157.36710087877304,67.1341877278975,0.0015925341911477986
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,5,76.56288291058374,2.4239382920498587,74.00997414640997,80.4508175120615,1.0840181588576443,0.014158533713047972,3.2819769544840596,4.338112402007633,70.62878263152615,69.61849585973268,0.09508212486013523
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,7,67.91346069744885,0.9061053794226511,67.09598133633733,69.77846569336174,0.3424756422243082,0.005042824186946096,3.294147521050502,4.218234257883957,198.3015792199557,70.31161700321995,-0.03470277625950047
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,7,79.31306288383921,1.2890125395918977,77.82454625698117,81.43086598329091,0.4872009452291372,0.006142757920504026,3.4189391203889827,4.373402842487584,162.79332718974345,77.82918837708982,0.018886309720605787
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,7,119.0432117702206,64.63767450556922,91.90385443465932,265.5789734003003,24.43074458103943,0.20522585217371406,3.5942396135789645,4.779486551317423,4.8726804611026635,89.7663264915097,0.28227662972388234
