event,station,epi_deg,epi_km,fc_Hz,sigma,rmse,fit_end_source,s_arrival_utc
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,4.0,67.94570439095206,0.148450610486097,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,5.0,66.79241298925169,0.14468200431011471,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,6.0,67.47551407216949,0.1361804810329137,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,7.0,66.08232258036426,0.11682544872464834,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,8.0,67.48362698418319,0.12035488933216631,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,9.0,69.10100909559334,0.12295226632398536,Lognonne S,1975-01-03 01:51:08+00:00
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,3.0,75.84419415329027,0.1298311207723239,Nakamura S,1975-01-12 03:23:08+00:00
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,4.0,80.4508175120615,0.12936273896042505,Nakamura S,1975-01-12 03:23:08+00:00
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,5.0,75.49245472874343,0.12422340626521751,Nakamura S,1975-01-12 03:23:08+00:00
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,6.0,77.01697401241354,0.12369315062787055,Nakamura S,1975-01-12 03:23:08+00:00
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,9.0,74.00997414640997,0.1125590853273338,Nakamura S,1975-01-12 03:23:08+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,3.0,46.31041328414955,0.15337162632985918,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,4.0,48.524577448859645,0.15778961142425335,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,5.0,45.927260426200526,0.15790646014848175,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,6.0,48.907886819116044,0.15758453354603394,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,7.0,50.73116234154464,0.15039874248805024,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,8.0,50.5295344642006,0.12476258197485313,Lognonne S,1976-03-06 10:18:27.700000+00:00
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,9.0,52.24079918877522,0.14659186818677447,Lognonne S,1976-03-06 10:18:27.700000+00:00
