fc_Hz,sigma0_km,beta,n_events
3.0,34.16408147360766,0.6529960513446189,4
4.0,277.9232350530021,0.1412917660575335,4
5.0,159.5054147844857,0.33291652378485037,4
6.0,452.6639357622495,0.01785358205398514,4
7.0,296.33492602560193,0.12898020285061548,4
8.0,223.9062976485882,0.2350232684833472,4
9.0,398.4102033870252,0.06709802773303801,4
